::1 - - [22/Jan/2022:18:11:58 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:11:58 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:12:13 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:12:13 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:12:13 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:12:13 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:12:36 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:12:40 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:12:43 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:12:43 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:12:43 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:14:01 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:14:01 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:14:01 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:14:01 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:14:16 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:14:16 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:14:16 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:14:16 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:15:10 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:15:10 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:15:10 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:15:10 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:15:30 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:15:30 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:15:30 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:15:30 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:16:50 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:16:50 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:16:50 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:16:50 +0000] "GET /api/brands HTTP/1.1" 200 343
